candidate_id,generation,failed,representation,segment_duration,n_mels,conv_blocks,base_channels,kernel_size,use_gru,gru_hidden,dropout,learning_rate,weight_decay,batch_size,pareto_rank,params,model_size_mb,latency_ms,latency_p95_ms,latency_mean_ms,device_info,val_loss,mae_bpm,median_ae_bpm,tempo_acc_4,tempo_acc_8,octave_aware_acc,half_tempo_rate,double_tempo_rate,style_macro_f1,style_weighted_f1,style_accuracy,style_confusion_matrix,meter_macro_f1,meter_weighted_f1,meter_accuracy,meter_confusion_matrix,best_epoch,wall_clock_s
c1270b2d,0,False,logmel,12.0,128,4,16,7,False,32,0.162,0.0007661100707771363,2.9380279387035324e-06,16,0,549143,2.1093,4.528,5.289,4.628,"{'device_type': 'mps', 'device_name': 'Apple Silicon (MPS)', 'platform': 'macOS-26.5.1-arm64-arm-64bit', 'python_version': '3.11.3', 'torch_version': '2.13.0'}",8.0878,111.23273565173149,111.53270128369331,0.0,0.0,0.0,0.0,0.0,14.285714285714285,22.857142857142858,40.0,"[[0, 0, 0, 4], [0, 0, 0, 4], [0, 0, 0, 4], [0, 0, 0, 8]]",37.5,45.0,60.0,"[[0, 8], [0, 12]]",1,6.99
0e2c4f1c,0,False,logmel_tempogram,12.0,96,2,32,7,False,32,0.488,0.0011114989443094985,1.152798712823241e-06,16,0,241767,0.9372,14.229,15.454,14.384,"{'device_type': 'mps', 'device_name': 'Apple Silicon (MPS)', 'platform': 'macOS-26.5.1-arm64-arm-64bit', 'python_version': '3.11.3', 'torch_version': '2.13.0'}",7.921,111.10283138751984,111.40304630994797,0.0,0.0,0.0,0.0,0.0,14.285714285714285,22.857142857142858,40.0,"[[0, 0, 0, 4], [0, 0, 0, 4], [0, 0, 0, 4], [0, 0, 0, 8]]",28.57142857142857,22.857142857142858,40.0,"[[8, 0], [12, 0]]",2,48.54
1034c85d,0,False,logmel_tempogram,8.0,96,3,16,3,False,32,0.173,0.001696753360719656,4.3352817949515615e-06,16,0,84359,0.3413,3.824,5.488,4.107,"{'device_type': 'mps', 'device_name': 'Apple Silicon (MPS)', 'platform': 'macOS-26.5.1-arm64-arm-64bit', 'python_version': '3.11.3', 'torch_version': '2.13.0'}",8.0554,111.20958606004714,111.50960257649422,0.0,0.0,0.0,0.0,0.0,8.333333333333332,6.666666666666667,20.0,"[[0, 0, 4, 0], [0, 0, 4, 0], [0, 0, 4, 0], [0, 0, 8, 0]]",37.5,45.0,60.0,"[[0, 8], [0, 12]]",2,11.78
